Second,Jitter,Loss,Bitrate
0.00,0.074,0.00%,9.96
10.00,0.082,0.00%,10.0
20.00,0.068,0.00%,10.0
30.00,0.057,0.00%,10.0
40.00,0.022,0.00%,10.0
50.00,0.064,0.00%,10.0
60.00,0.053,0.00%,10.0
70.00,0.031,0.00%,10.0
80.00,0.085,0.00%,10.0
90.00,0.070,0.00%,10.0
100.00,0.060,0.00%,10.0
110.00,0.040,0.00%,10.0
120.00,0.025,0.00%,10.0
130.00,0.062,0.00%,10.0
140.00,0.079,0.00%,10.0
150.00,0.085,0.00%,10.0
160.00,0.060,0.00%,10.0
170.00,0.071,0.00%,10.0
180.00,0.050,0.00%,10.0
190.00,0.025,0.00%,10.0
200.00,0.017,0.00%,10.0
210.00,0.018,0.00%,10.0
220.00,0.032,0.00%,10.0
230.00,0.024,0.00%,10.0
240.00,0.071,0.00%,10.0
250.00,0.022,0.00%,10.0
260.00,0.025,0.00%,10.0
270.00,0.049,0.00%,10.0
280.00,0.073,0.00%,10.0
290.00,0.024,0.00%,10.0
300.00,0.079,0.00%,9.93
