Second,Jitter,Loss,Bitrate
0.00,0.454,47.50%,26.1
10.00,0.451,47.52%,26.2
20.00,0.473,47.55%,26.2
30.00,0.465,47.52%,26.2
40.00,0.463,47.52%,26.2
50.00,0.457,47.52%,26.2
60.00,0.465,47.53%,26.2
70.00,0.425,47.52%,26.2
80.00,0.467,47.52%,26.2
90.00,0.461,47.55%,26.2
100.00,0.463,47.52%,26.2
110.00,0.464,47.52%,26.2
120.00,0.484,47.52%,26.2
130.00,0.457,47.52%,26.2
140.00,0.455,47.52%,26.2
150.00,0.461,47.52%,26.2
160.00,0.473,47.54%,26.2
170.00,0.485,47.52%,26.2
180.00,0.479,47.52%,26.2
190.00,0.498,47.52%,26.2
200.00,0.450,47.54%,26.2
210.00,0.462,47.52%,26.2
220.00,0.483,47.52%,26.2
230.00,0.458,47.54%,26.2
240.00,0.463,47.52%,26.2
250.00,0.460,47.52%,26.2
260.00,0.457,47.52%,26.2
270.00,0.461,47.54%,26.2
280.00,0.449,47.52%,26.2
290.00,0.474,47.52%,26.2
300.00,0.507,47.37%,26.1
