Second,Jitter,Loss,Bitrate
0.00,0.271,0.00%,29.9
10.00,0.280,0.00%,30.0
20.00,0.331,0.00%,30.0
30.00,0.284,0.00%,30.0
40.00,0.382,0.00%,30.0
50.00,0.279,0.02%,30.0
60.00,0.362,0.00%,30.0
70.00,0.291,0.00%,30.0
80.00,0.234,0.00%,30.0
90.00,0.297,0.00%,30.0
100.00,0.280,0.00%,30.0
110.00,0.287,0.00%,30.0
120.00,0.232,0.02%,30.0
130.00,0.325,0.00%,30.0
140.00,0.291,0.00%,30.0
150.00,0.246,0.00%,30.0
160.00,0.260,0.00%,30.0
170.00,0.253,0.00%,30.0
180.00,0.310,0.00%,30.0
190.00,0.255,0.00%,30.0
200.00,0.284,0.02%,30.0
210.00,0.276,0.00%,30.0
220.00,0.295,0.00%,30.0
230.00,0.265,0.03%,30.0
240.00,0.306,0.00%,30.0
250.00,0.241,0.00%,30.0
260.00,0.241,0.00%,30.0
270.00,0.257,0.00%,30.0
280.00,0.312,0.00%,30.0
290.00,0.254,0.00%,30.0
300.00,0.288,0.00%,29.9
