Second,Jitter,Loss,Bitrate
0.00,0.043,0.00%,9.96
10.00,0.076,0.00%,10.0
20.00,0.021,0.00%,10.0
30.00,0.138,0.00%,10.0
40.00,0.132,0.00%,10.0
50.00,0.076,0.00%,10.0
60.00,0.054,0.00%,10.0
70.00,0.102,0.00%,10.0
80.00,0.041,0.00%,10.0
90.00,0.083,0.00%,10.0
100.00,0.090,0.00%,10.0
110.00,0.103,0.00%,10.0
120.00,0.068,0.00%,10.0
130.00,0.014,0.00%,10.0
140.00,0.051,0.00%,10.0
150.00,0.061,0.00%,10.0
160.00,0.041,0.00%,10.0
170.00,0.042,0.00%,10.0
180.00,0.062,0.00%,10.0
190.00,0.030,0.00%,10.0
200.00,0.031,0.00%,10.0
210.00,0.099,0.00%,10.0
220.00,0.062,0.00%,10.0
230.00,0.064,0.00%,10.0
240.00,0.031,0.00%,10.0
250.00,0.023,0.00%,10.0
260.00,0.045,0.00%,10.0
270.00,0.093,0.00%,10.0
280.00,0.021,0.00%,10.0
290.00,0.102,0.00%,10.0
300.00,0.039,0.00%,9.95
